"","time","tweet_id","sentiment_score","location","latitude","longitude","place_rank"
"14442","Tue Mar 31 06:26:20 +0000 2020",1244873648080478208,0.2,"Bengaluru South, India",12.9791198,77.5912997,"16"
"14443","Tue Mar 31 06:26:45 +0000 2020",1244873750052470784,0.025,"Mumbai, India",19.0759899,72.8773928,"16"
"14444","Tue Mar 31 06:27:09 +0000 2020",1244873851772772352,0.468181818181818,"Mumbai, India",19.0759899,72.8773928,"16"
"14445","Tue Mar 31 06:27:15 +0000 2020",1244873876577771520,0.2,"Gurgaon, India",28.42826235,77.0027001465775,"12"
"14446","Tue Mar 31 06:27:24 +0000 2020",1244873915312140288,-0.0125,"Amritsar, India",31.6343083,74.8736788,"16"
"14447","Tue Mar 31 06:27:35 +0000 2020",1244873958928683008,0.2,"Maharashtra, India",18.9068356,75.6741579,"8"
"14448","Tue Mar 31 06:27:40 +0000 2020",1244873980420358144,0,"Hayathnagar, India",17.3281147,78.6045399,"19"
"14449","Tue Mar 31 06:27:50 +0000 2020",1244874025073074176,0,"Lucknow, India",26.8381,80.9346001,"16"
"14450","Tue Mar 31 06:28:27 +0000 2020",1244874180228612096,0,"Katni",23.8339621,80.392456,"16"
"14451","Tue Mar 31 06:28:47 +0000 2020",1244874264211161088,0,"Bengaluru, India",12.9791198,77.5912997,"16"
"14452","Tue Mar 31 06:29:16 +0000 2020",1244874384445067264,-0.6,"Noida, India",28.5707841,77.3271074,"16"
"14453","Tue Mar 31 06:29:29 +0000 2020",1244874437079564288,0,"Lucknow, India",26.8381,80.9346001,"16"
"14454","Tue Mar 31 06:30:03 +0000 2020",1244874579761299456,0.0121212121212121,"Raipur, India",21.2379469,81.6336833,"16"
"14455","Tue Mar 31 06:30:20 +0000 2020",1244874654428418048,0,"Firozpur, India",30.88510035,74.6601408124889,"10"
"14456","Tue Mar 31 06:30:38 +0000 2020",1244874726964482048,-0.0625,"Ludhiana",30.9090157,75.851601,"16"
"14457","Tue Mar 31 06:31:05 +0000 2020",1244874842303868928,0,"New Delhi, India",28.6138954,77.2090057,"10"
"14458","Tue Mar 31 06:31:50 +0000 2020",1244875028073775104,0.3,"Chhindwara, India",22.13983105,78.8096449546799,"10"
"14460","Tue Mar 31 06:32:13 +0000 2020",1244875125314314240,0,"Raipur, India",21.2379469,81.6336833,"16"
"14461","Tue Mar 31 06:32:21 +0000 2020",1244875159720222720,0,"Mumbai, India",19.0759899,72.8773928,"16"
"14462","Tue Mar 31 06:32:28 +0000 2020",1244875190732869632,0,"Bengaluru, India",12.9791198,77.5912997,"16"
"14463","Tue Mar 31 06:33:30 +0000 2020",1244875448091168768,0.33,"Rajendra Nagar, India",25.6030053,85.1623397,"30"
"14464","Tue Mar 31 06:33:36 +0000 2020",1244875473903116288,0.3,"Aundh, Pune",18.5618834,73.8101957,"19"
"14465","Tue Mar 31 06:34:35 +0000 2020",1244875723254292480,0.3,"Bellary, India",15.1433952,76.9193876,"16"
"14467","Tue Mar 31 06:35:23 +0000 2020",1244875923393875968,-0.135185185185185,"Phusro, India",23.7678684,85.9873831,"19"
"14469","Tue Mar 31 06:35:52 +0000 2020",1244876044810797056,0.227272727272727,"Haveli, India",18.51051985,74.0609353177903,"12"
"14470","Tue Mar 31 06:36:05 +0000 2020",1244876100003606528,0.0477272727272727,"Mumbai, India",19.0759899,72.8773928,"16"
"14471","Tue Mar 31 06:36:09 +0000 2020",1244876116000555008,0.4,"Delhi, India",28.6517178,77.2219388,"16"
"14472","Tue Mar 31 06:37:25 +0000 2020",1244876433551327232,0,"Mumbai, India",19.0759899,72.8773928,"16"
